id,lead_actor_1,lead_actor_2,lead_actor_3,lead_actor_4
10413,Jean-Claude Van Damme,Rosanna Arquette,Kieran Culkin,Ted Levine
10414,Emilio Estevez,Joss Ackland,Lane Smith,Heidi Kling
10416,Garry Shandling,Annette Bening,John Goodman,Greg Kinnear
10419,Robert Sean Leonard,Christian Bale,Frank Whaley,Barbara Hershey
10421,Jacques Dufilho,Yvette Etiévant,Michel Galabru,Michèle Méritz
10423,Jason Scott Lee,Lauren Holly,Robert Wagner,Michael Learned
10424,Andy García,Lance Henriksen,Uma Thurman,Graham Beckel
10425,Paul Walker,Laurence Fishburne,Olivia Wilde,Jason Lewis
10426,Ice Cube,Mike Epps,John Witherspoon,K. D. Aubert
10427,Nicolas Cage,Dennis Hopper,Lara Flynn Boyle,J.T. Walsh
10428,Jonny Lee Miller,Angelina Jolie,Jesse Bradford,Matthew Lillard
10429,Skeet Ulrich,Angela Featherstone,Donal Logue,Christopher McDonald
10431,Jet Li,Jason Statham,John Lone,Devon Aoki
10433,Robert De Niro,Uma Thurman,Bill Murray,David Caruso
10434,Otto Sander,Bruno Ganz,Nastassja Kinski,Peter Falk
10435,Robert Downey Jr.,Geraldine Chaplin,Paul Rhys,John Thaw
10436,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,Alexis Smith
10437,Michael Caine,Dave Goelz,Steve Whitmire,Jerry Nelson
10438,Charles Grodin,Bonnie Hunt,Nicholle Tom,Christopher Castile
10439,Bette Midler,Sarah Jessica Parker,Kathy Najimy,Omri Katz
10440,Woody Allen,Diane Keaton,Jerry Adler,Alan Alda
10442,Mike Myers,Nancy Travis,Anthony LaPaglia,Amanda Plummer
10443,Jeff Bridges,Isabella Rossellini,Rosie Perez,Tom Hulce
10445,Anthony Hopkins,Debra Winger,John Wood,Julian Fellowes
10447,Ray Liotta,Lance Henriksen,Stuart Wilson,Kevin Dillon
10448,Jason Scott Lee,Esai Morales,Sandrine Holt,Eru Potaka-Dewes
10449,Andy García,Meg Ryan,Tina Majorino,Philip Seymour Hoffman
10450,Ezio Greggio,Dom DeLuise,Billy Zane,Joanna Pacula
10451,Sihung Lung,Yang Kuei-Mei,Wu Chien-Lien,Yu-Wen Wang
10452,Isabelle Adjani,Daniel Auteuil,Jean-Hugues Anglade,Vincent Perez
10461,Sylvester Stallone,Miranda Richardson,Rachael Leigh Cook,Alan Cumming
10462,Ed Herlihy,Josef Sommer,Robert Stanton,Edward Herrmann
10464,Whoopi Goldberg,Ray Liotta,Tina Majorino,Joan Cusack
10466,Tom Hanks,Shelley Long,Alexander Godunov,Maureen Stapleton
10467,Anthony Hopkins,Bridget Fonda,Matthew Broderick,John Cusack
10468,Sandra Bullock,Viggo Mortensen,Dominic West,Elizabeth Perkins
10471,Ice Cube,Mike Epps,Justin Pierce,John Witherspoon
10472,Freddie Prinze Jr.,Julia Stiles,Selma Blair,Shawn Hatosy
10473,Christopher Masterson,Harry Van Gorkum,Rona Figueroa,Matt Hickey
10474,Leonardo DiCaprio,Mark Wahlberg,Lorraine Bracco,Michael Imperioli
10475,Matt Dillon,Lili Taylor,Marisa Tomei,Fisher Stevens
10476,Terrence Howard,Anthony Anderson,Taryn Manning,Taraji P. Henson
10477,Sylvester Stallone,Burt Reynolds,Kip Pardue,Stacy Edwards
10478,Kevin Costner,Rene Russo,Don Johnson,Cheech Marin
10479,Tommy Lee Jones,Samuel L. Jackson,Guy Pearce,Ben Kingsley
10480,Renée Zellweger,Morgan Freeman,Chris Rock,Greg Kinnear
10481,Glenn Close,Ioan Gruffudd,Alice Evans,Tim McInnerny
10482,Rik Mayall,Adrian Edmondson,Bill Nighy,Kate Ashfield
10483,Jason Statham,Joan Allen,Ian McShane,Tyrese Gibson
10484,Pierre Richard,Gérard Depardieu,Anny Duperey,Michel Aumont
10485,Bill Cosby,Kimberly Russell,Denise Nicholas,Salim Grant
10486,Gérard Depardieu,Katherine Heigl,Dalton James,Lauren Hutton
10488,Abigail Breslin,Jodie Foster,Gerard Butler,Michael Carman
10489,Dee Wallace,Danny Pintauro,Daniel Hugh Kelly,Christopher Stone
10490,Kirsten Dunst,Ellen Barkin,Denise Richards,Kirstie Alley
10491,Dougray Scott,Kate Winslet,Saffron Burrows,Jeremy Northam
10493,Nicole Kidman,Sam Neill,Billy Zane,George Shevtsov
10494,Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,Masaaki Okura
10495,Ralph Macchio,Pat Morita,Robyn Lively,Thomas Ian Griffith
10496,Lou Diamond Phillips,Dina Meyer,Bob Gunton,Leon
10497,Hugh Grant,Kristin Scott Thomas,Emmanuelle Seigner,Peter Coyote
10498,Bridget Fonda,Gabriel Byrne,Dermot Mulroney,Miguel Ferrer
10501,Kenneth Branagh,Kevin Kline,Rosie Perez,Armand Assante
10502,Mel Gibson,Nick Stahl,Margaret Whitton,Fay Masterson
10503,Sally Hawkins,Alexis Zegerman,Eddie Marsan,Samuel Roukin
10510,Richard Attenborough,Dylan McDermott,Mara Wilson,Elizabeth Perkins
10511,Paddy Considine,Samantha Morton,Sarah Bolger,Emma Bolger
10513,Gregory Walcott,Mona McKinnon,Duke Moore,Tom Keene
10514,Arthur Hill,David Wayne,James Olson,Kate Reid
10515,Keiko Yokozawa,Mayumi Tanaka,Minori Terada,Kotoe Hatsui
10516,Louis de Funès,Michel Galabru,Maurice Risch,Jean-Pierre Rambal
10518,Dustin Hoffman,Laurence Olivier,Roy Scheider,William Devane
10520,Melonie Diaz,Nicole Vicius,Guinevere Turner,Carly Pope
10521,Kate Hudson,Anne Hathaway,Bryan Greenberg,Chris Pratt
10523,Josh Brolin,Elizabeth Banks,Toby Jones,Ellen Burstyn
10525,Billy Crystal,Debra Winger,Joe Mantegna,Cynthia Stevenson
10527,Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith
10528,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong
10529,Jim Caviezel,Sophia Myles,Jack Huston,Ron Perlman
10530,Irene Bedard,Mel Gibson,David Ogden Stiers,John Kassir
10531,Sigourney Weaver,Ben Kingsley,Stuart Wilson,Krystia Mova
10533,Demi Moore,Gary Oldman,Robert Duvall,Robert Prosky
10534,Jeff Bridges,Caroline Goodall,John Savage,Scott Wolf
10535,Leslie Nielsen,Nicollette Sheridan,Charles Durning,Marcia Gay Harden
10536,Michael Caine,Noël Coward,Benny Hill,Margaret Blye
10537,Val Kilmer,Meg Ryan,Kyle MacLachlan,Frank Whaley
10538,Wesley Snipes,Bruce Payne,Tom Sizemore,Alex Datcher
10539,Paul Terry,Miriam Margolyes,Joanna Lumley,Pete Postlethwaite
10540,Sean Connery,Peter Boyle,Frances Sternhagen,James B. Sikking
10543,Mark Wahlberg,Reese Witherspoon,William Petersen,Alyssa Milano
10544,Heath Ledger,Orlando Bloom,Geoffrey Rush,Naomi Watts
10545,Tom Hulce,Demi Moore,Heidi Mollenhauer,Tony Jay
10546,Vincent Perez,Mia Kirshner,Iggy Pop,Thomas Jane
10547,Charlie Sheen,Lindsay Crouse,Richard Schiff,Ron Silver
10548,Muhammad Ali,George Foreman,Don King,James Brown
10549,Kenneth Branagh,Derek Jacobi,Kate Winslet,Julie Christie
10550,Antonio Banderas,Lucy Liu,Gregg Henry,Ray Park
10551,Sean Connery,Dustin Hoffman,Matthew Broderick,Rosanna DeSoto
10552,Drew Barrymore,James Woods,Alan King,Kenneth McMillan
10553,Fred Ward,Joel Grey,Wilford Brimley,J.A. Preston
10555,Will Smith,Robert De Niro,Renée Zellweger,Jack Black
10557,Om Puri,Linda Bassett,Ian Aspinall,Jimi Mistry
10559,Dennis Quaid,Jim Caviezel,Shawn Doyle,Elizabeth Mitchell
10560,Amanda Schull,Zoe Saldana,Susan May Pratt,Peter Gallagher
10562,Gene Hackman,Morgan Freeman,Thomas Jane,Monica Bellucci
10563,Matthew Perry,Neve Campbell,Dylan McDermott,Oliver Platt
10564,Natalie Portman,Ashley Judd,Stockard Channing,Joan Cusack
10567,D. B. Sweeney,Alfre Woodard,Ossie Davis,Max Casella
10568,John Clements,Ralph Richardson,C. Aubrey Smith,June Duprez
10569,Woody Allen,Tracey Ullman,Michael Rapaport,Tony Darrow
10570,Nelly Frijda,Huub Stapel,René van 't Hof,Tatjana Simić
10571,Freddie Prinze Jr.,Claire Forlani,Jason Biggs,Amanda Detmer
10572,Sagamore Stévenin,Peter Youngblood Hills,Diane Kruger,Jean-Pierre Cassel
10575,Cate Blanchett,Giovanni Ribisi,Remo Girone,Stefania Rocca
10576,Anthony Perkins,Vera Miles,Meg Tilly,Robert Loggia
10577,Gerard Butler,Christopher Plummer,Jonny Lee Miller,Justine Waddell
10578,Stephen Billington,Craig Sheffer,Jason Scott Lee,Jason London
10579,Jason Scott Lee,Jason London,Alexandra Wescourt,Rutger Hauer
10580,Yftach Katzur,Jonathan Sagall,Zachi Noy,Anat Atzmon
10581,Yftach Katzur,Yvonne Michaels,Zachi Noy,Rachel Steiner
10582,Yftach Katzur,Jonathan Sagall,Zachi Noy,Ariella Rabinovich
10583,Yftach Katzur,Zachi Noy,Jonathan Sagall,Sonja Martin
10585,Catherine Hicks,Chris Sarandon,Alex Vincent,Brad Dourif
10586,Michael Douglas,Val Kilmer,Tom Wilkinson,John Kani
10587,Steve Guttenberg,Bubba Smith,Michael Winslow,Sharon Stone
10588,Mike Myers,Alec Baldwin,Dakota Fanning,Spencer Breslin
10589,Pierce Brosnan,Salma Hayek,Woody Harrelson,Don Cheadle
10590,Mel Gibson,Greg Kinnear,Madeleine Stowe,Sam Elliott
10591,Emile Hirsch,Elisha Cuthbert,Timothy Olyphant,James Remar
10592,Bruce Willis,Colin Farrell,Terrence Howard,Marcel Iureș
10593,Julian Sands,Asia Argento,Andrea Di Stefano,Nadia Rinaldi
10596,Michael Rooker,Jean-Claude Van Damme,Ian Robison,Catherine Dent
10597,Harry Enfield,Kathy Burke,Rhys Ifans,James Fleet
10598,Clifton Collins Jr.,Cuba Gooding Jr.,Keith David,Cole Hauser
10599,Roberto Benigni,Nicoletta Braschi,Carlo Giuffrè,Kim Rossi Stuart
10601,Jeremy Sumpter,Jason Isaacs,Rachel Hurd-Wood,Lynn Redgrave
10603,Brendan Fraser,Leslie Mann,Thomas Haden Church,John Cleese
10604,Anthony Quinn,Alan Bates,Irene Papas,Lila Kedrova
10605,Jon Bon Jovi,Cristián de la Fuente,Diego Luna,Natasha Gregson Wagner
10606,Michael Paré,Nancy Allen,Eric Christmas,Bobby Di Cicco
10607,Shawn Wayans,Marlon Wayans,Tracey Cherelle Jones,Chris Spencer
10608,Tim Robbins,Giancarlo Esposito,Alan Rickman,Ray Wise
10609,Geoffrey Rush,Charlize Theron,John Lithgow,Miriam Margolyes
10610,Jackie Chan,Lee Evans,Claire Forlani,Julian Sands
10611,Ice Cube,Anthony Anderson,Cedric the Entertainer,Sean Patrick Thomas
10612,Hugh Grant,Tara Fitzgerald,Colm Meaney,Ian McNeice
10614,Quentin Tarantino,Allen Garfield,Craig Hamann,Al Harrell
10615,Lance Crouther,Jennifer Coolidge,J.B. Smoove,Reg E. Cathey
10616,Jet Li,Eric Tsang,Simon Yam,Gigi Leung
10617,Jet Li,Yuen Biao,Jacky Cheung,Rosamund Kwan
10618,Jet Li,Rosamund Kwan,Max Mok Siu-Chung,Donnie Yen
10619,Jet Li,Rosamund Kwan,Max Mok Siu-Chung,Xiong Xin-Xin
10620,Jet Li,Rosamund Kwan,Xiong Xin-Xin,Power Chan
10622,Jackie Chan,Richard Norton,Miki Lee,Gabrielle Fitzpatrick
10623,Jet Li,DMX,Kelly Hu,Anthony Anderson
10625,Lindsay Lohan,Rachel McAdams,Lacey Chabert,Amanda Seyfried
10627,George C. Scott,Timothy Hutton,Ronny Cox,Sean Penn
10628,Jerry O'Connell,Anthony Anderson,Estella Warren,Christopher Walken
10629,Cate Blanchett,Gerard McSorley,Ciarán Hinds,Brenda Fricker
10631,Steve Martin,Lily Tomlin,Victoria Tennant,Madolyn Smith Osborne
10632,Tommy Lee Jones,Benicio del Toro,Connie Nielsen,Leslie Stefanson
10633,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant
10634,Ice Cube,Chris Tucker,Nia Long,Tom 'Tiny' Lister Jr.
10635,Josh Charles,Stephen Baldwin,Lara Flynn Boyle,Alexis Arquette
10637,Denzel Washington,Will Patton,Wood Harris,Ryan Hurst
10640,Peter Fonda,Blythe Danner,Arthur Hill,Yul Brynner
10641,Richard Gere,Winona Ryder,Anthony LaPaglia,Elaine Stritch
10642,Jason Biggs,Mena Suvari,Zak Orth,Thomas Sadoski
10643,Takehiro Murata,Naomi Nishida,Mayu Suzuki,Hiroshi Abe
10644,Daniel Day-Lewis,Juliette Binoche,Lena Olin,Derek de Lint
10646,Jerry O'Connell,Shannon Elizabeth,Jake Busey,Horatio Sanz
10647,Kevin Spacey,Helen Hunt,Haley Joel Osment,Jay Mohr
10648,Clint Eastwood,Hal Holbrook,Mitchell Ryan,David Soul
10649,Clint Eastwood,Tyne Daly,Harry Guardino,Bradford Dillman
10650,Clint Eastwood,Sondra Locke,Pat Hingle,Bradford Dillman
10651,Clint Eastwood,Patricia Clarkson,Liam Neeson,Evan C. Kim
10652,Tim Quill,Michael Boatman,Dylan McDermott,Don Cheadle
10653,Marilyn Monroe,Tom Ewell,Evelyn Keyes,Sonny Tufts
10654,John Savage,Treat Williams,Beverly D'Angelo,Annie Golden
10655,Jeff Daniels,Tom Berenger,Martin Sheen,Sam Elliott
10656,Isabelle Adjani,Christopher Lambert,Richard Bohringer,Michel Galabru
10657,Max von Sydow,Ed Harris,Bonnie Bedelia,Amanda Plummer
10658,Lea Thompson,Jeffrey Jones,Tim Robbins,Ed Gale
10660,Nicolas Cage,Bridget Fonda,Rosie Perez,Wendell Pierce
10661,Adam Sandler,Emmanuelle Chriqui,John Turturro,Nick Swardson
10663,Adam Sandler,Kathy Bates,Fairuza Balk,Henry Winkler
10664,Jonathan D. Mellor,Óscar Zafra,Ariel Casas,Alejandro Casaseca
10665,Liv Tyler,Scott Speedman,Glenn Howerton,Kip Weeks
10668,Christopher Walken,Henry Thomas,Sean Patrick Flanery,Jay Mohr
10669,Jon Voight,Burt Reynolds,Ned Beatty,Ronny Cox
10670,George Segal,Richard Widmark,Timothy Bottoms,Henry Fonda
10671,Burt Lancaster,Dean Martin,Jean Seberg,Jacqueline Bisset
10673,Charlie Sheen,Michael Douglas,Martin Sheen,Daryl Hannah
10674,Ming-Na Wen,Eddie Murphy,BD Wong,Miguel Ferrer
10675,Harrison Ford,Emmanuelle Seigner,Betty Buckley,Dominique Pinon
10676,Tom Atkins,Stacey Nelkin,Dan O'Herlihy,Michael Currie
10677,Diego Luna,Romola Garai,Sela Ward,John Slattery
10678,Steve Martin,Queen Latifah,Eugene Levy,Joan Plowright
10679,Julia Dietze,Christopher Kirby,Götz Otto,Udo Kier
10680,Emilio Estevez,Jeffrey Nordling,David Selby,Heidi Kling
10681,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard
10683,Jane Adams,Jon Lovitz,Philip Seymour Hoffman,Dylan Baker
10684,Denzel Washington,Meg Ryan,Lou Diamond Phillips,Matt Damon
10685,James Spader,Keanu Reeves,Marisa Tomei,Ernie Hudson
10686,Morio Kazama,Tomoyasu Hotei,Tamaki Ogawa,Mitsuru Fukikoshi
10687,Colin Farrell,Matthew Davis,Clifton Collins Jr.,Tom Guiry
10688,Ethan Hawke,Kyle MacLachlan,Diane Venora,Sam Shepard
10690,Dennis Hopper,Stephen Dorff,Debi Mazar,Charles Dance
10691,Kirsten Dunst,Jay Hernandez,Bruce Davison,Herman Osorio
10692,Michael Rooker,Tracy Arnold,Tom Towles,David Katz
10693,Bobby Driscoll,Kathryn Beaumont,Hans Conried,Bill Thompson
10694,Charlie Sheen,Kristy Swanson,Henry Rollins,Rocky Carroll
10696,Mariah Carey,Max Beesley,Terrence Howard,Valarie Pettiford
10697,Jean-Pierre Bacri,Alain Chabat,Anne Alvaro,Agnès Jaoui
10699,Dustin Hoffman,Geena Davis,Andy García,Joan Cusack
10703,Leon Lai,Charlie Yeung,Lu Yi,Liu Chia-Liang
10704,Matt Battaglia,Andrew Jackson,Eric Bryson,Kevin Rushton
10705,Kenneth Branagh,Derek Jacobi,Brian Blessed,James Larkin
10706,Bruno Campos,Alix Koromzay,Will Estes,Edward Albert
10707,Jeff Daniels,Laura Linney,Jesse Eisenberg,Owen Kline
10708,Eddie Murphy,Jeff Garlin,Steve Zahn,Regina King
10710,Ben Stiller,Jack Black,Rachel Weisz,Christopher Walken
10711,Gene Hackman,Fernando Rey,Bernard Fresson,Philippe Léotard
10712,Julianne Moore,Dennis Quaid,Dennis Haysbert,Patricia Clarkson
10714,Jason Scott Lee,Cary Elwes,Lena Headey,Sam Neill
10715,Brendan Fraser,Jenna Elfman,Steve Martin,Timothy Dalton
10718,Martin Henderson,Ice Cube,Monet Mazur,Jaime Pressly
10719,Will Ferrell,James Caan,Bob Newhart,Ed Asner
10720,Renée Zellweger,Ewan McGregor,Sarah Paulson,David Hyde Pierce
10722,Álex Angulo,Armando De Razza,Santiago Segura,Terele Pávez
10723,Damon Wayans,Adam Sandler,James Caan,Jeep Swenson
10724,Clint Eastwood,Freddie Jones,David Huffman,Warren Clarke
10725,Albert Finney,Diane Venora,Edward James Olmos,Gregory Hines
10726,Mila Kunis,William Shatner,Geraint Wyn Davies,Lindy Booth
10727,Chaney Kley,Emma Caulfield,Lee Cormie,Sullivan Stapleton
10728,Gösta Ekman,Emil Jannings,Camilla Horn,Frida Richard
10729,Bill Murray,Geena Davis,Randy Quaid,Jason Robards
10730,Jeff Bridges,Jessica Lange,Charles Grodin,John Randolph
10731,Brad Renfro,Susan Sarandon,Tommy Lee Jones,Mary-Louise Parker
10732,Sophie Marceau,Philippe Noiret,Claude Rich,Sami Frey
10733,Dennis Quaid,Billy Bob Thornton,Jason Patric,Patrick Wilson
10734,Clint Eastwood,Patrick McGoohan,Roberts Blossom,Jack Thibeau
10735,Amanda Bynes,Colin Firth,Kelly Preston,Eileen Atkins
10739,Jason Biggs,Christina Ricci,Woody Allen,Stockard Channing
10740,Nicole Kidman,Cameron Bright,Danny Huston,Lauren Bacall
10741,Joy Bryant,Nick Cannon,Emilio Estevez,Laurence Fishburne
10742,Robert Redford,Helen Mirren,Willem Dafoe,Alessandro Nivola
10743,Edward Burns,Rachel Weisz,Andy García,Paul Giamatti
10744,William H. Macy,Alec Baldwin,Maria Bello,Shawn Hatosy
10747,Clint Eastwood,Chief Dan George,Sondra Locke,Bill McKinney
10748,Talulah Riley,Rupert Everett,Gemma Arterton,Colin Firth
10750,Sean Astin,Wil Wheaton,George Perez,Keith Coogan
10751,Kim Bodnia,Nikolaj Lie Kaas,Brian Patterson,Torkel Petersson
10753,Jackie Chan,Maggie Cheung,Lam Kwok-Hung,Bill Tung
10754,Mirosław Baka,Krzysztof Globisz,Jan Tesarz,Zbigniew Zapasiewicz
10755,Jimi Blue Ochsenknecht,Raban Bieling,Sarah Kim Gries,Constantin Gastmann
10756,Eddie Murphy,Marsha Thomason,Terence Stamp,Nathaniel Parker
10757,Amitabh Bachchan,Jaya Bachchan,Shah Rukh Khan,Kajol
10758,Keri Russell,Nathan Fillion,Andy Griffith,Cheryl Hines
10759,Carl Weathers,David Koechner,Melora Hardin,Matthew Lawrence
10760,Amanda Bynes,Sara Paxton,Matt Long,Jeremy Howard
10761,Patrick Dempsey,Michelle Monaghan,Kevin McKidd,Chris Messina
10762,Seth Green,Matthew Lillard,Dax Shepard,Ethan Suplee
10763,Richard Gere,Helen Hunt,Liv Tyler,Kate Hudson
10764,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench
10765,Goldie Hawn,Eileen Brennan,Armand Assante,Robert Webber
10766,William Holden,Lee Grant,Jonathan Scott-Taylor,Robert Foxworth
10768,Sam Neill,Rossano Brazzi,Don Gordon,Lisa Harrow
10770,Bud Spencer,Raimund Harmstorf,Cary Guffey,Joe Bugner
10771,Jackie Chan,Jennifer Love Hewitt,Jason Isaacs,Debi Mazar
10772,Franco Nero,José Bódalo,Loredana Nusciak,Ángel Álvarez
10773,Judi Dench,Bob Hoskins,Will Young,Christopher Guest
10774,Faye Dunaway,Peter Finch,William Holden,Robert Duvall
10775,Andy Lau,Tony Leung Chiu-wai,Anthony Wong,Eric Tsang
10776,Rick Moranis,Ellen Greene,Vincent Gardenia,Steve Martin
10778,Billy Bob Thornton,Frances McDormand,Michael Badalucco,James Gandolfini
10779,Michael J. Fox,Jeffrey Combs,Jake Busey,Chi McBride
10780,Goldie Hawn,Kurt Russell,Edward Herrmann,Katherine Helmond
10781,Jordana Brewster,Taylor Handley,Diora Baird,Matt Bomer
10782,John Travolta,Connie Nielsen,Samuel L. Jackson,Giovanni Ribisi
10783,John Travolta,Lisa Kudrow,Tim Roth,Ed O'Neill
10784,Liza Minnelli,Michael York,Helmut Griem,Joel Grey
10785,Kenneth Tobey,Margaret Sheridan,Robert Cornthwaite,Douglas Spencer
10786,Sean Connery,Audrey Hepburn,Robert Shaw,Richard Harris
10787,Claude Rains,Gloria Stuart,William Harrigan,Henry Travers
10788,Akshay Kumar,Kareena Kapoor Khan,Sylvester Stallone,Whoopi Goldberg
10790,Anastasia Hille,Karel Roden,Valentin Ganev,Paraskeva Djukelova
10792,Patrick Dewaere,France Dougnac,Dorothée Jemma,Maurice Barrier
10794,Peter Sellers,Claudine Longet,Natalia Borisova,Jean Carson
10795,François Cluzet,Marie-Josée Croze,Kristin Scott Thomas,François Berléand
10796,Jet Li,Jason Statham,Carla Gugino,Delroy Lindo
10797,x,x,x,x
10798,Benoît Magimel,Clovis Cornillac,Géraldine Pailhas,Alice Taglioni
10799,Jean Reno,Arly Jover,Jocelyn Quivrin,Laura Morante
10800,Vincent Lindon,Patrick Timsit,Philippe Nahon,Amanda Lear
10802,Elizabeth Berkley,Kyle MacLachlan,Gina Gershon,Glenn Plummer
10803,Michael York,Jenny Agutter,Richard Jordan,Roscoe Lee Browne
10804,John Goodman,Peter O'Toole,John Hurt,Camille Coduri
10805,John Travolta,Cynthia Rhodes,Finola Hughes,Steve Inwood
10806,Kevin Kline,Joan Cusack,Tom Selleck,Matt Dillon
10808,Eddie Murphy,Kristen Wilson,Kyla Pratt,Raven-Symoné
10810,Flora Martínez,Alejandra Borrero,Kristina Lilley,Unax Ugalde
10818,Pauline Acquart,Adèle Haenel,Louise Blachère,Warren Jacquin
10822,Julianne Moore,Stephen Dillane,Eddie Redmayne,Anne Reid
10823,Peter Horton,Linda Hamilton,R. G. Armstrong,John Franklin
10824,Tony Todd,Kelly Rowan,William O'Leary,Bill Nunn
10829,Michael Gross,Susan Chuang,Shawn Christian,Charlotte Stewart
10830,Mara Wilson,Danny DeVito,Rhea Perlman,Embeth Davidtz
10831,Anthony Higgins,Janet Suzman,Dave Hill,Anne-Louise Lambert
10832,Olivia Bonamy,Michaël Cohen,Adriana Mocca,Maria Roman
10833,Sigourney Weaver,Jennifer Love Hewitt,Gene Hackman,Ray Liotta
10834,Rüdiger Vogler,Hanns Zischler,Lisa Kreuzer,Rudolf Schündler
10835,Chow Yun-Fat,Danny Lee Sau-Yin,Sally Yeh,Paul Chu Kong
10836,Ezra Godden,Francisco Rabal,Raquel Meroño,Macarena Gómez
10837,Alan Young,Terence McGovern,Russi Taylor,Richard Libertini
10838,Casper Van Dien,Erika Eleniak,Coolio,Grant Swanby
10839,James Coburn,Maximilian Schell,James Mason,David Warner
10840,x,x,x,x
10841,Richard Burton,Rod Steiger,Helmut Griem,Klaus Löwitsch
10842,Rie Kuwana,Masumi Miyazaki,Seiko Iwaido,Issei Ishida
10843,Griffin Dunne,Rosanna Arquette,Verna Bloom,Tommy Chong
10845,Robert Englund,Giuseppe Andrews,Peter Stormare,Dylan Edrington
10846,Roberto Benigni,Jean Reno,Nicoletta Braschi,Emilia Fox
10847,Balthazar Getty,Chris Furrh,Danuel Pipoly,James Badge Dale
10849,Mia Farrow,Jeff Daniels,Danny Aiello,Irving Metzman
10851,Jason Statham,Ray Liotta,Vincent Pastore,André Benjamin
10852,Jet Li,Sammo Hung,Francis Ng,Richard Ng
10854,Lori Heuring,Scout Taylor-Compton,Chloë Grace Moretz,Geoffrey Lewis
10856,Leonardo Sbaraglia,Eusebio Poncela,Mónica López,Antonio Dechent
10857,Peggy Ashcroft,John Mills,Robin Houston,James Russell
10858,Anthony Hopkins,Joan Allen,Powers Boothe,Ed Harris
10859,Richard Dreyfuss,Emilio Estevez,Madeleine Stowe,Aidan Quinn
10860,Sally Field,Dolly Parton,Shirley MacLaine,Julia Roberts
10861,Jean-Claude Van Damme,Natasha Henstridge,Jean-Hugues Anglade,Zach Grenier
10862,Ben Affleck,Gwyneth Paltrow,Natasha Henstridge,Edward Edwards
10863,Donald Sutherland,Kate Nelligan,Ian Bannen,Christopher Cazenove
10865,Michael J. Fox,Corey Burton,Claudia Christian,James Garner
10866,Paul Walker,Steve Zahn,Leelee Sobieski,Michael McCleery
10867,Monica Bellucci,Giuseppe Sulfaro,Luciano Federico,Matilde Piana
10868,Kelly McGillis,Jodie Foster,Bernie Coulson,Leo Rossi
10869,Helen Hayes,Ken Berry,Stefanie Powers,John McIntire
10870,Eric Judor,Ramzy Bedia,Saïd Serrari,Til Schweiger
10871,Dennis Quaid,Danny Glover,R. Lee Ermey,Claudia Stedelin
10872,Denis Leary,Judy Davis,Kevin Spacey,Glynis Johns
10873,John Malkovich,Willem Dafoe,Udo Kier,Cary Elwes
10874,Tim Curry,Billy Connolly,Jennifer Saunders,Kevin Bishop
10875,Michelle Pfeiffer,Jeff Bridges,Beau Bridges,Jennifer Tilly
10876,Geoffrey Rush,Kate Winslet,Joaquin Phoenix,Michael Caine
10877,Steven Seagal,DMX,Isaiah Washington,Anthony Anderson
10878,Steve Zahn,Jack Black,Jason Biggs,Amanda Peet
10879,Nick Nolte,Julia Roberts,Saul Rubinek,James Rebhorn
10881,Małgorzata Foremniak,Władysław Kowalski,Jerzy Gudejko,Dariusz Biskupski
10882,Mary Costa,Bill Shirley,Eleanor Audley,Verna Felton
10885,Joshua Jackson,Rachael Taylor,Megumi Okina,David Denman
10886,Kseniya Rappoport,Michele Placido,Claudia Gerini,Pierfrancesco Favino
10889,Gena Rowlands,John Adames,Julie Carmen,Buck Henry
10890,Bill Murray,Harold Ramis,Warren Oates,P.J. Soles
10891,Neil Kopit,Sara Botsford,Michael Gross,Don Ruffin
10894,Angela Bettis,Jeremy Sisto,Anna Faris,James Duval
10895,Dickie Jones,Cliff Edwards,Christian Rub,Evelyn Venable
10896,Richard Dreyfuss,Danny DeVito,Barbara Hershey,John Mahoney
10897,Travis Tedford,Kevin Jamal Woods,Jordan Warkol,Zachary Mabry
10898,Jodi Benson,Samuel E. Wright,Tara Strong,Pat Carroll
10900,Julia Ormond,Bill Pullman,Pell James,Caroline Aaron
10905,Tom Hanks,Dabney Coleman,Lori Singer,Charles Durning
10906,Edward Furlong,Anthony Edwards,Clancy Brown,Jared Rushton
10907,Errol Flynn,Olivia de Havilland,Basil Rathbone,Claude Rains
10908,Jean-Claude Van Damme,Pat Morita,Danny Trejo,Gabrielle Fitzpatrick
10909,Brad Pitt,David Duchovny,Juliette Lewis,Michelle Forbes
10910,José Ferrer,Colette Marchand,Zsa Zsa Gabor,Suzanne Flon
10911,Gregory Peck,David Niven,Anthony Quinn,Stanley Baker
10912,Richard Thomas,Ernest Borgnine,Donald Pleasence,Ian Holm
10913,Jamie Bell,Bill Pullman,Michael Angarano,Danso Gordon
10915,Terence Hill,Miou-Miou,Robert Charlebois,Patrick McGoohan
10916,Bruce Boxleitner,Jerry Doyle,Jeff Conaway,Carrie Dobro
